

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (OBJNUM,TYPE,XX1,YY1,XX2,YY2,SIZE,DIAG)
  1331       10:R       10:R       1 (7,line,0,18,14,0,22.8,44.27)
  1332       10:R        9:P   +   0.768 (5,line,14,27,0,19,16.12,48.38)
  1333       10:R       10:R       0.519 (4,line,24,45,24,29,16,63.69)
  1334       10:R        9:P   +   0.556 (4,line,17,34,17,23,11,46.24)
  1335       10:R       10:R       0.999 (6,line,0,28,9,0,29.41,50.22)
  1336       10:R       10:R       0.771 (3,line,18,45,23,37,9.43,54.13)
  1337       10:R        9:P   +   0.574 (4,line,13,32,0,25,14.76,44.92)
  1338       10:R        6:G   +   0.412 (5,line,25,27,17,22,9.43,52.35)
  1339       10:R       10:R       0.875 (1,line,1,30,1,54,24,67.2)
  1340       10:R        3:D   +   0.6 (5,line,20,14,0,6,21.54,49.2)
  1341       10:R        8:L   +   0.401 (0,line,0,0,2,38,38.05,64.4)
  1342       10:R       10:R       0.633 (1,line,1,30,1,52,22,54.71)
  1343       10:R        8:L   +   0.713 (0,line,0,0,2,39,39.05,62.97)
  1344       10:R       10:R       0.607 (3,line,10,27,11,20,7.07,31.95)
  1345       10:R       10:R       0.824 (4,line,13,41,13,32,9,49.73)
  1346       10:R       10:R       0.62 (5,line,14,22,12,17,5.39,40.5)
  1347       10:R       10:R       0.932 (5,line,0,24,7,0,25,42.38)
  1348       10:R       10:R       0.861 (2,line,2,57,14,50,13.89,59.48)
  1349       10:R        9:P   +   0.534 (4,line,14,29,14,20,9,38.63)
  1350       10:R        9:P   +   0.439 (1,line,0,26,0,39,13,42.54)
  1351       10:R       10:R       0.733 (3,line,14,37,14,27,10,47.13)
  1352       10:R        4:E   +   0.627 (0,line,0,0,0,26,26,55.47)
  1353       10:R       10:R       0.934 (5,line,10,37,5,34,5.83,50.01)
  1354       10:R       10:R       0.903 (2,line,0,56,9,52,9.85,58.82)
  1355       10:R       10:R       0.766 (5,line,14,32,0,24,16.12,53.16)
  1356       10:R        9:P   +   0.588 (1,line,0,32,0,50,18,55.04)
  1357       10:R        3:D   +   0.561 (4,line,14,16,0,6,17.2,36.77)
  1358       10:R        5:F   +   0.639 (1,line,0,24,0,43,19,52.43)
  1359       10:R        9:P   +   0.57 (4,line,27,43,23,35,8.94,63.07)
  1360       10:R       10:R       0.451 (1,line,1,24,1,40,16,43.86)
  1361       10:R       10:R       0.758 (5,line,15,34,8,29,8.6,53.16)
  1362       10:R       10:R       0.446 (0,line,0,0,1,38,38.01,73)
  1363       10:R       10:R       0.572 (4,line,14,32,0,21,17.8,55.03)
  1364       10:R        8:L   +   0.629 (0,line,0,0,2,32,32.06,58.24)
  1365       10:R       10:R       0.358 (0,line,0,0,2,33,33.06,59.77)
  1366       10:R        9:P   +   0.523 (5,line,14,23,0,15,16.12,49.98)
  1367       10:R       10:R       0.837 (5,line,17,16,0,6,19.72,47.85)
  1368       10:R       10:R       0.763 (2,line,2,53,12,49,10.77,54.34)
  1369       10:R       10:R       0.753 (4,line,30,34,17,23,17.03,60.03)
  1370       10:R       10:R       0.717 (3,line,17,52,35,41,21.1,66.89)
  1371       10:R        6:G   +   0.809 (4,line,27,24,20,15,11.4,48.26)
  1372       10:R       10:R       0.75 (3,line,20,46,20,39,7,56.65)
  1373       10:R        9:P   +   0.362 (4,line,14,20,0,10,17.2,42.15)
  1374       10:R        9:P   +   0.566 (2,line,1,44,25,41,24.19,55)
  1375       10:R       10:R       0.88 (1,line,1,32,1,38,6,42.05)
  1376       10:R       10:R       0.98 (5,line,0,26,7,0,26.93,39.62)
  1377       10:R       10:R       0.682 (3,line,4,38,8,35,5,38.83)
  1378       10:R       10:R       0.449 (1,line,0,35,0,42,7,43.97)
  1379       10:R       10:R       0.816 (5,line,0,18,5,0,18.68,32.98)
  1380       10:R       10:R       0.469 (4,line,33,35,33,24,11,55)
  1381       10:R       10:R       0.493 (2,line,0,50,12,45,13,55.04)
  1382       10:R       10:R       0.53 (1,line,1,38,1,60,22,61.61)
  1383       10:R       10:R       0.867 (2,line,0,42,14,38,14.56,44.6)
  1384       10:R        4:E   +   0.432 (0,line,0,0,0,24,24,47.17)
  1385       10:R        3:D   +   0.452 (3,line,10,29,20,22,12.21,36.89)
  1386       10:R       10:R       0.613 (1,line,1,28,1,52,24,68.12)
  1387       10:R        3:D   +   0.473 (3,line,23,28,23,18,10,41.88)
  1388       10:R        9:P   +   0.507 (4,line,14,25,0,15,17.2,46.17)
  1389       10:R       10:R       0.954 (3,line,17,43,17,30,13,55.97)
  1390       10:R        9:P   +   0.549 (4,line,21,40,0,33,22.14,56.08)
  1391       10:R       10:R       0.641 (3,line,6,40,18,36,12.65,46.62)
  1392       10:R       10:R       0.753 (1,line,2,37,2,47,10,50.33)
  1393       10:R       10:R       0.403 (5,line,19,22,0,12,21.47,56.08)
  1394       10:R        4:E   +   0.546 (0,line,0,0,0,32,32,50.33)
  1395       10:R       10:R       0.996 (7,line,0,14,9,0,16.64,36.69)
  1396       10:R       10:R       0.925 (6,line,8,19,0,13,10,47.17)
  1397       10:R       10:R       0.858 (6,line,8,37,0,33,8.94,55.11)
  1398       10:R       10:R       0.997 (6,line,0,31,8,0,32.02,53.15)
  1399       10:R       10:R       0.997 (7,line,0,6,15,0,16.16,42.54)
  1400       10:R       10:R       0.539 (5,line,17,16,0,6,19.72,48.33)
  1401       10:R       10:R       0.884 (5,line,0,14,19,0,23.6,62.17)
  1402       10:R       10:R       0.533 (1,line,2,24,2,48,24,52.8)
  1403       10:R       10:R       0.986 (7,line,0,8,17,0,18.79,50.16)
  1404       10:R       10:R       0.714 (2,line,2,44,36,32,36.06,56.85)
  1405       10:R       10:R       0.919 (5,line,0,15,16,0,21.93,49.65)
  1406       10:R        3:D   +   0.761 (4,line,18,27,18,16,11,40.25)
  1407       10:R        3:D   +   0.882 (4,line,25,27,25,16,11,43.83)
  1408       10:R        9:P   +   0.348 (1,line,0,22,0,47,25,49.34)
  1409       10:R        9:P   +   0.559 (2,line,2,54,11,52,9.22,56.61)
  1410       10:R        9:P   +   0.519 (3,line,13,53,16,48,5.83,59.2)
  1411       10:R       10:R       0.396 (6,line,6,21,0,17,7.21,44.72)
  1412       10:R        9:P   +   0.64 (4,line,14,33,0,26,15.65,49.04)
  1413       10:R       10:R       0.999 (7,line,0,34,10,0,35.44,50.01)
  1414       10:R       10:R       0.893 (4,line,18,51,18,40,11,62.64)
  1415       10:R        9:P   +   0.551 (3,line,10,37,27,31,18.03,49.09)
  1416       10:R        9:P   +   0.624 (3,line,17,49,21,40,9.85,62.97)
  1417       10:R        8:L   +   0.784 (0,line,0,0,1,21,21.02,40.71)
  1418       10:R        8:L   +   0.301 (0,line,0,0,0,34,34,57.97)
  1419       10:R       10:R       0.783 (1,line,1,38,1,52,14,54.12)
  1420       10:R        8:L   +   0.392 (0,line,0,0,1,34,34.01,48.47)
  1421       10:R       10:R       0.63 (4,line,26,34,14,25,15,55.47)
  1422       10:R       10:R       0.983 (7,line,0,19,13,0,23.02,49.66)
  1423       10:R       10:R       0.519 (3,line,10,38,11,31,7.07,42.45)
  1424       10:R       10:R       0.869 (3,line,33,40,33,29,11,59.91)
  1425       10:R        6:G   +   0.806 (4,line,22,24,0,14,24.17,47.41)
  1426       10:R       10:R       0.435 (1,line,2,29,2,37,8,38.9)
  1427       10:R       10:R       0.488 (5,line,19,36,10,30,10.82,63.89)
  1428       10:R        9:P   +   0.535 (1,line,2,22,2,43,21,46.24)
  1429       10:R       10:R       0.758 (4,line,11,45,10,40,5.1,55.11)
  1430       10:R       10:R       1 (6,line,0,6,15,0,16.16,42.72)
  1431       10:R       10:R       0.401 (5,line,24,20,0,6,27.78,76.49)
  1432       10:R       10:R       0.978 (3,line,17,42,17,29,13,55.97)
  1433       10:R       10:R       0.933 (2,line,1,44,14,40,13.6,52.15)
  1434       10:R       10:R       0.595 (3,line,10,37,18,32,9.43,47.54)
  1435       10:R        9:P   +   0.796 (3,line,7,33,10,28,5.83,35.44)
  1436       10:R       10:R       0.703 (3,line,12,37,17,34,5.83,42.54)
  1437       10:R        9:P   +   0.648 (3,line,14,45,17,36,9.49,50.92)
  1438       10:R       10:R       0.687 (2,line,0,35,23,28,24.04,41.88)
  1439       10:R       10:R       0.997 (7,line,0,13,20,0,23.85,56.08)
  1440       10:R        9:P   +   0.532 (2,line,0,41,10,38,10.44,42.45)
  1441       10:R        8:L   +   0.773 (0,line,0,0,1,25,25.02,41.44)
  1442       10:R        5:F   +   0.35 (0,line,0,0,1,27,27.02,52.2)
  1443       10:R       10:R       0.997 (7,line,0,23,9,0,24.7,38.08)
  1444       10:R       10:R       0.69 (3,line,14,34,15,25,9.06,42.15)
  1445        7:H        7:H       0.702 (2,line,0,15,14,14,14.04,35.34)
  1446        7:H        8:L   +   0.622 (0,line,0,0,0,17,17,40.16)
  1447        7:H        7:H       0.729 (2,line,0,23,24,21,24.08,48.37)
  1448        7:H        7:H       0.851 (1,line,9,0,9,26,26,41)
  1449        7:H        7:H       0.762 (1,line,20,0,20,15,15,43.42)
  1450        7:H        7:H       0.597 (3,line,0,15,1,30,15.03,33.54)
  1451        7:H        7:H       0.856 (2,line,0,15,24,13,24.08,35.38)
  1452        7:H        5:F   +   0.373 (3,line,0,9,0,19,10,23.85)
  1453        7:H        7:H       0.84 (1,line,17,0,18,17,17.03,35.85)
  1454        7:H       10:R   +   0.57 (3,line,0,24,2,49,25.08,52.2)
  1455        7:H        8:L   +   0.405 (0,line,0,0,0,25,25,48.05)
  1456        7:H        7:H       0.623 (4,line,21,15,23,21,6.32,42.72)
  1457        7:H        8:L   +   0.35 (0,line,0,0,0,11,11,36.77)
  1458        7:H        7:H       0.686 (2,line,0,17,18,9,19.7,39.82)
  1459        7:H        7:H       0.941 (4,line,21,7,21,26,19,33.42)
  1460        7:H        8:L   +   0.504 (0,line,0,0,0,12,12,32.45)
  1461        7:H        6:G   +   0.484 (1,line,19,0,20,6,6.08,43.91)
  1462        7:H        7:H       0.457 (0,line,0,0,0,7,7,25.81)
  1463        7:H        7:H       0.665 (1,line,18,0,19,6,6.08,43.38)
  1464        7:H        8:L   +   0.634 (0,line,0,0,0,18,18,32.28)
  1465        7:H        7:H       0.913 (2,line,0,10,9,12,9.22,35.17)
  1466        7:H        7:H       0.528 (4,line,21,24,20,34,10.05,44.29)
  1467        7:H        4:E   +   0.412 (0,line,0,0,0,22,22,34.48)
  1468        7:H        7:H       0.351 (3,line,0,12,1,19,7.07,42.45)
  1469        7:H        7:H       0.774 (4,line,11,14,12,37,23.02,38.9)
  1470        7:H        7:H       0.985 (4,line,18,7,18,25,18,30.81)
  1471        7:H        7:H       0.555 (2,line,0,7,22,11,22.36,36.12)
  1472        7:H        7:H       0.918 (1,line,19,0,19,8,8,41.59)
  1473        7:H        7:H       0.638 (2,line,0,8,13,9,13.04,30.87)
  1474        7:H        7:H       0.323 (0,line,0,0,0,23,23,46.04)
  1475        7:H        7:H       0.558 (2,line,0,20,15,20,15,40.85)
  1476        7:H        7:H       0.762 (2,line,0,7,15,8,15.03,24.21)
  1477        7:H        4:E   +   0.405 (0,line,0,0,0,23,23,44.28)
  1478        7:H        7:H       0.77 (1,line,8,0,9,13,13.04,33.24)
  1479        7:H        7:H       0.718 (2,line,0,17,20,6,22.83,43.91)
  1480        7:H        7:H       0.557 (3,line,0,21,0,29,8,30.81)
  1481        7:H        7:H       0.944 (4,line,14,8,13,17,9.06,41.44)
  1482        7:H        7:H       0.878 (4,line,15,20,15,36,16,40.85)
  1483        7:H        7:H       0.949 (1,line,14,0,15,15,15.03,41.79)
  1484        7:H        7:H       0.976 (1,line,24,0,25,13,13.04,48.02)
  1485        7:H        7:H       0.6 (3,line,0,7,2,26,19.1,39)
  1486        7:H        7:H       0.883 (1,line,24,0,24,10,10,38.42)
  1487        7:H        5:F   +   0.671 (3,line,0,19,0,28,9,39.41)
  1488        7:H        7:H       0.399 (0,line,0,0,0,17,17,43.57)
  1489        7:H        6:G   +   0.636 (0,line,0,0,0,6,6,29.53)
  1490        7:H        7:H       0.513 (2,line,0,11,19,7,19.42,30.41)
  1491        7:H        7:H       0.877 (1,line,8,0,9,13,13.04,31.62)
  1492        7:H        3:D   +   0.574 (2,line,0,20,11,10,14.87,29.15)
  1493        7:H        5:F   +   0.469 (2,line,0,10,16,9,16.03,26.4)
  1494        7:H        5:F   +   0.398 (2,line,0,22,13,24,13.15,48.76)
  1495        7:H        7:H       0.431 (0,line,0,0,0,10,10,35.38)
  1496        7:H        7:H       0.928 (4,line,15,13,15,28,15,31.76)
  1497        7:H        7:H       0.892 (1,line,6,0,8,10,10.2,35.17)
  1498        7:H        7:H       0.3 (0,line,0,0,0,12,12,29.73)
  1499        7:H        7:H       0.929 (2,line,0,21,21,17,21.38,44.29)
  1500        7:H        4:E   +   0.455 (0,line,0,0,0,10,10,21.95)
  1501        7:H        4:E   +   0.36 (3,line,0,7,2,13,6.32,36.12)
  1502        7:H        8:L   +   0.486 (0,line,0,0,0,20,20,30.87)
  1503        7:H        5:F   +   0.58 (3,line,0,14,0,31,17,39.2)
  1504        7:H        7:H       0.639 (2,line,0,7,19,8,19.03,27.59)
  1505        7:H        4:E   +   0.394 (3,line,0,24,2,46,22.09,50.99)
  1506        7:H        4:E   +   0.313 (0,line,0,0,0,13,13,33.24)
  1507        7:H        5:F   +   0.639 (3,line,0,12,2,20,8.25,24.41)
  1508        7:H        5:F   +   0.54 (3,line,0,22,2,31,9.22,41.11)
  1509        7:H        7:H       0.972 (4,line,24,12,25,22,10.05,33.97)
  1510        7:H        6:G   +   0.502 (2,line,0,12,13,11,13.04,27.78)
  1511        7:H        7:H       0.509 (3,line,0,22,1,28,6.08,29.41)
  1512        7:H        7:H       0.359 (2,line,0,17,17,20,17.26,38.91)
  1513        7:H        4:E   +   0.473 (3,line,0,11,0,25,14,31.4)
  1514        7:H        5:F   +   0.416 (3,line,0,8,2,24,16.12,42.94)
  1515        7:H        7:H       0.592 (4,line,27,9,25,20,11.18,33.6)
  1516        7:H        7:H       0.358 (2,line,0,22,16,14,17.89,43.08)
  1517        7:H        8:L   +   0.359 (0,line,0,0,0,24,24,52.39)
  1518        7:H        7:H       0.539 (0,line,0,0,0,15,15,35.38)
  1519        7:H        7:H       0.411 (3,line,0,17,0,37,20,41.59)
  1520        7:H        7:H       0.989 (4,line,24,18,25,37,19.03,44.65)
  1521        7:H        7:H       0.907 (2,line,0,13,15,10,15.3,31.76)
  1522        7:H        7:H       0.546 (2,line,0,6,13,11,13.93,31.76)
  1523        7:H        7:H       0.699 (3,line,0,6,1,27,21.02,29.55)
  1524        7:H        7:H       0.932 (1,line,14,0,15,13,13.04,25.81)
  1525        7:H        7:H       0.729 (2,line,0,17,8,10,10.63,35.9)
  1526        7:H        7:H       0.98 (1,line,18,0,20,12,12.17,35.81)
  1527        7:H        7:H       0.887 (4,line,20,13,22,21,8.25,30.41)
  1528        7:H        5:F   +   0.304 (2,line,0,22,11,11,15.56,43.42)
  1529        7:H        7:H       0.754 (4,line,19,8,21,15,7.28,38.28)
  1530        7:H        3:D   +   0.514 (1,line,16,0,16,11,11,31.38)
  1531        7:H        5:F   +   0.5 (3,line,0,14,0,21,7,41.05)
  1532        7:H        7:H       0.987 (1,line,13,0,15,12,12.17,40.85)
  1533        7:H        7:H       0.869 (4,line,8,7,7,16,9.06,35.9)
  1534        7:H        5:F   +   0.748 (3,line,0,19,0,40,21,46.14)
  1535        7:H        7:H       0.923 (4,line,25,11,26,36,25.02,44.41)
  1536        7:H        6:G   +   0.477 (1,line,19,0,19,6,6,29)
  1537        7:H        5:F   +   0.455 (3,line,0,24,2,45,21.1,51.79)
  1538        7:H        7:H       0.717 (3,line,0,15,1,21,6.08,25.71)
  1539        7:H        6:G   +   0.38 (0,line,0,0,0,9,9,22.8)
  1540        7:H        8:L   +   0.428 (0,line,0,0,0,6,6,39.05)
  1541        7:H        7:H       0.638 (3,line,0,12,1,34,22.02,36.06)
  1542        7:H        8:L   +   0.797 (0,line,0,0,0,10,10,32.76)
  1543        7:H        7:H       0.989 (4,line,15,6,13,21,15.13,29.15)
  1544        7:H        8:L   +   0.63 (0,line,0,0,0,21,21,40.16)
  1545        7:H        3:D   +   0.478 (4,line,20,7,21,14,7.07,32.65)
  1546        7:H        8:L   +   0.826 (0,line,0,0,0,19,19,44.64)
  1547        7:H        4:E   +   0.337 (0,line,0,0,0,21,21,45.28)
  1548        7:H        7:H       0.698 (4,line,19,6,21,14,8.25,29)
  1549        7:H        7:H       0.826 (3,line,0,12,2,30,18.11,34.54)
  1550        7:H        7:H       0.609 (1,line,20,0,21,7,7.07,33.42)
  1551        7:H        7:H       0.582 (0,line,0,0,0,12,12,32.2)
  1552        7:H        7:H       0.806 (4,line,6,19,6,25,6,25.71)
  1553        7:H        7:H       0.714 (2,line,0,6,26,7,26.02,35.38)
  1554        7:H        7:H       0.598 (1,line,17,0,17,12,12,45.19)
  1555        7:H        8:L   +   0.621 (0,line,0,0,0,24,24,35.44)
  1556        7:H        5:F   +   0.425 (2,line,0,21,17,22,17.03,35.36)
  1557        7:H        7:H       0.694 (4,line,11,10,9,18,8.25,29.15)
  1558        7:H        7:H       0.95 (4,line,22,12,23,22,10.05,45.28)
  1559        7:H        7:H       0.88 (2,line,0,17,10,7,14.14,32.57)
  1560        7:H        5:F   +   0.747 (3,line,0,22,1,36,14.04,45)
  1561        7:H        7:H       0.662 (2,line,0,8,15,8,15,36.25)
  1562        7:H        7:H       0.801 (1,line,24,0,24,9,9,36.88)
  1563        7:H       10:R   +   0.536 (4,line,13,24,13,43,19,44.92)
  1564        7:H        5:F   +   0.441 (3,line,0,25,2,41,16.12,44.38)
  1565        7:H        8:L   +   0.522 (0,line,0,0,0,18,18,35.47)
  1566        7:H        7:H       0.343 (2,line,0,21,7,22,7.07,30.81)
  1567        7:H        7:H       0.62 (2,line,0,11,9,16,10.3,41.98)
  1568        7:H        7:H       0.798 (4,line,16,22,15,34,12.04,37.58)
  1569        7:H        7:H       0.649 (3,line,0,19,0,27,8,39.92)
  1570        7:H        7:H       0.884 (3,line,0,16,1,28,12.04,32.57)
  1571        7:H        5:F   +   0.301 (0,line,0,0,0,18,18,36.07)
  1572        7:H        5:F   +   0.291 (2,line,0,25,16,27,16.12,44.38)
  1573        7:H        3:D   +   0.531 (2,line,0,15,18,20,18.68,36.72)
  1574        7:H        7:H       0.863 (4,line,15,6,15,16,10,34.44)
  1575        7:H        8:L   +   0.706 (0,line,0,0,0,15,15,35.34)
  1576        7:H        7:H       0.687 (2,line,0,10,26,10,26,35.38)
  1577        7:H        7:H       0.797 (1,line,10,0,12,22,22.09,46.57)
  1578        7:H        7:H       0.397 (2,line,0,15,7,12,7.62,40.61)
  1579        7:H        7:H       0.832 (1,line,6,0,8,11,11.18,35.9)
  1580        7:H        4:E   +   0.655 (3,line,0,20,2,30,10.2,31.62)
  1581        7:H        6:G   +   0.69 (1,line,25,0,27,10,10.2,40.36)
  1582        7:H        7:H       0.966 (1,line,10,0,12,13,13.15,51.42)
  1583        7:H        7:H       0.746 (1,line,13,0,14,7,7.07,34.93)
  1584        7:H        7:H       0.946 (1,line,19,0,21,19,19.1,36.62)
  1585        7:H        6:G   +   0.639 (4,line,19,7,21,18,11.18,52.39)
  1586        7:H        7:H       0.42 (1,line,20,0,22,9,9.22,38.01)
  1587        7:H        7:H       0.585 (2,line,0,15,15,13,15.13,33.54)
  1588        7:H        7:H       0.409 (2,line,0,23,20,15,21.54,52)
  1589        7:H        7:H       0.622 (3,line,0,17,2,32,15.13,34.93)
  1590        7:H        9:P   +   0.618 (3,line,0,23,0,48,25,52)
  1591        7:H        5:F   +   0.407 (3,line,0,15,0,21,6,25.81)
  1592        7:H        5:F   +   0.634 (3,line,0,14,1,20,6.08,38.6)
  1593        7:H        7:H       0.486 (3,line,0,9,1,32,23.02,44.41)
  1594        7:H        7:H       0.975 (1,line,13,0,15,22,22.09,41.79)
  1595        7:H        7:H       0.989 (1,line,22,0,24,14,14.14,44.1)
  1596        7:H        8:L   +   0.321 (0,line,0,0,0,10,10,26.4)
  1597        7:H        7:H       0.976 (1,line,24,0,25,14,14.04,43.83)
  1598        7:H        7:H       0.533 (2,line,0,7,10,12,11.18,37.95)
  1599        7:H        7:H       0.866 (2,line,0,7,15,10,15.3,25.81)
  1600        7:H        7:H       0.878 (1,line,22,0,24,6,6.32,41.4)
  1601        7:H        8:L   +   0.465 (0,line,0,0,0,8,8,29.83)
  1602        7:H        7:H       0.541 (0,line,0,0,0,7,7,35.38)
  1603        7:H        7:H       0.956 (1,line,22,0,24,10,10.2,32.2)
